'Time','PLETH',,,
'[21:30:25.112 2]',384,61,-1,0
'[21:30:25.120 2]',383,62,-1,0
'[21:30:25.128 2]',382,63,-1,1
'[21:30:25.136 2]',381,64,0,1
'[21:30:25.144 2]',381,65,1,1
'[21:30:25.152 2]',382,66,2,1
'[21:30:25.160 2]',384,67,3,1
'[21:30:25.168 2]',387,68,4,0
'[21:30:25.176 2]',391,69,4,1
'[21:30:25.184 2]',395,70,5,0
'[21:30:25.192 2]',400,71,5,0
'[21:30:25.200 2]',405,72,5,-1
'[21:30:25.208 2]',410,73,4,0
'[21:30:25.216 2]',414,74,4,-1
'[21:30:25.224 2]',418,75,3,1
'[21:30:25.232 2]',421,76,4,-1
'[21:30:25.240 2]',425,77,3,0
'[21:30:25.248 2]',428,78,3,0
'[21:30:25.256 2]',431,79,3,0
'[21:30:25.264 2]',434,80,3,-2
'[21:30:25.272 2]',437,81,1,0
'[21:30:25.280 2]',438,82,1,0
'[21:30:25.288 2]',439,83,1,-1
'[21:30:25.296 2]',440,84,0,-1
'[21:30:25.304 2]',440,85,-1,-1
'[21:30:25.312 2]',439,86,-2,0
'[21:30:25.320 2]',437,87,-2,0
'[21:30:25.328 2]',435,88,-2,0
'[21:30:25.336 2]',433,89,-2,0
'[21:30:25.344 2]',431,90,-2,0
'[21:30:25.352 2]',429,91,-2,0
'[21:30:25.360 2]',427,92,-2,0
'[21:30:25.368 2]',425,93,-2,0
'[21:30:25.376 2]',423,94,-2,0
'[21:30:25.384 2]',421,95,-2,1
'[21:30:25.392 2]',419,96,-1,-1
'[21:30:25.400 2]',418,97,-2,0
'[21:30:25.408 2]',416,98,-2,1
'[21:30:25.416 2]',414,99,-1,0
'[21:30:25.424 2]',413,100,-1,-1
'[21:30:25.432 2]',412,101,-2,0
'[21:30:25.440 2]',410,102,-2,1
'[21:30:25.448 2]',408,103,-1,-1
'[21:30:25.456 2]',407,104,-2,0
'[21:30:25.464 2]',405,105,-2,1
'[21:30:25.472 2]',403,106,-1,-1
'[21:30:25.480 2]',402,107,-2,1
'[21:30:25.488 2]',400,108,-1,-1
'[21:30:25.496 2]',399,109,-2,1
'[21:30:25.504 2]',397,110,-1,-1
'[21:30:25.512 2]',396,111,-2,1
'[21:30:25.520 2]',394,112,-1,0
'[21:30:25.528 2]',393,113,-1,0
'[21:30:25.536 2]',392,114,-1,0
'[21:30:25.544 2]',391,115,-1,-1
'[21:30:25.552 2]',390,116,-2,1
'[21:30:25.560 2]',388,117,-1,0
'[21:30:25.568 2]',387,118,-1,0
'[21:30:25.576 2]',386,119,-1,-1
'[21:30:25.584 2]',385,120,-2,1
'[21:30:25.592 2]',383,121,-1,-1
'[21:30:25.600 2]',382,122,-2,2
'[21:30:25.608 2]',380,123,0,-1
'[21:30:25.616 2]',380,124,-1,2
'[21:30:25.624 2]',379,125,1,1
'[21:30:25.632 2]',380,126,2,1
'[21:30:25.640 2]',382,127,3,1
'[21:30:25.648 2]',385,128,4,1
'[21:30:25.656 2]',389,129,5,1
'[21:30:25.664 2]',394,130,6,0
'[21:30:25.672 2]',400,131,6,0
'[21:30:25.680 2]',406,132,6,-2
'[21:30:25.688 2]',412,133,4,1
'[21:30:25.696 2]',416,134,5,-1
'[21:30:25.704 2]',421,135,4,0
'[21:30:25.712 2]',425,136,4,-1
'[21:30:25.720 2]',429,137,3,0
'[21:30:25.728 2]',432,138,3,-1
'[21:30:25.736 2]',435,139,2,0
'[21:30:25.744 2]',437,140,2,0
'[21:30:25.752 2]',439,141,2,-1
'[21:30:25.760 2]',441,142,1,0
'[21:30:25.768 2]',442,143,1,-1
'[21:30:25.776 2]',443,144,0,0
'[21:30:25.784 2]',443,145,0,-1
'[21:30:25.792 2]',443,146,-1,0
'[21:30:25.800 2]',442,147,-1,-1
'[21:30:25.808 2]',441,148,-2,1
'[21:30:25.816 2]',439,149,-1,-2
'[21:30:25.824 2]',438,150,-3,1
'[21:30:25.832 2]',435,151,-2,0
'[21:30:25.840 2]',433,152,-2,0
'[21:30:25.848 2]',431,153,-2,0
'[21:30:25.856 2]',429,154,-2,0
'[21:30:25.864 2]',427,155,-2,0
'[21:30:25.872 2]',425,156,-2,0
'[21:30:25.880 2]',423,157,-2,1
'[21:30:25.888 2]',421,158,-1,-1
'[21:30:25.896 2]',420,159,-2,0
'[21:30:25.904 2]',418,160,-2,-1
'[21:30:25.912 2]',416,161,-3,2
'[21:30:25.920 2]',413,162,-1,-1
'[21:30:25.928 2]',412,163,-2,0
'[21:30:25.936 2]',410,164,-2,0
'[21:30:25.944 2]',408,165,-2,0
'[21:30:25.952 2]',406,166,-2,0
'[21:30:25.960 2]',404,167,-2,0
'[21:30:25.968 2]',402,168,-2,0
'[21:30:25.976 2]',400,169,-2,0
'[21:30:25.984 2]',398,170,-2,0
'[21:30:25.992 2]',396,171,-2,1
'[21:30:26.000 2]',394,172,-1,-1
'[21:30:26.008 2]',393,173,-2,0
'[21:30:26.016 2]',391,174,-2,1
'[21:30:26.024 2]',389,175,-1,-1
'[21:30:26.032 2]',388,176,-2,0
'[21:30:26.040 2]',386,177,-2,1
'[21:30:26.048 2]',384,178,-1,-1
'[21:30:26.056 2]',383,179,-2,0
'[21:30:26.064 2]',381,180,-2,1
'[21:30:26.072 2]',379,181,-1,0
'[21:30:26.080 2]',378,182,-1,1
'[21:30:26.088 2]',377,183,0,2
'[21:30:26.096 2]',377,184,2,1
'[21:30:26.104 2]',379,185,3,1
'[21:30:26.112 2]',382,186,4,0
'[21:30:26.120 2]',386,187,4,-1
'[21:30:26.128 2]',390,188,3,1
'[21:30:26.136 2]',393,189,4,1
'[21:30:26.144 2]',397,190,5,-1
'[21:30:26.152 2]',402,191,4,1
'[21:30:26.160 2]',406,192,5,-2
'[21:30:26.168 2]',411,193,3,1
'[21:30:26.176 2]',414,194,4,-1
'[21:30:26.184 2]',418,195,3,0
'[21:30:26.192 2]',421,196,3,0
'[21:30:26.200 2]',424,197,3,0
'[21:30:26.208 2]',427,198,3,-2
'[21:30:26.216 2]',430,199,1,0
'[21:30:26.224 2]',431,200,1,0
'[21:30:26.232 2]',432,201,1,-1
'[21:30:26.240 2]',433,202,0,0
'[21:30:26.248 2]',433,203,0,-1
'[21:30:26.256 2]',433,204,-1,0
'[21:30:26.264 2]',432,205,-1,0
'[21:30:26.272 2]',431,206,-1,-1
'[21:30:26.280 2]',430,207,-2,1
'[21:30:26.288 2]',428,208,-1,-1
'[21:30:26.296 2]',427,209,-2,0
'[21:30:26.304 2]',425,210,-2,0
'[21:30:26.312 2]',423,211,-2,1
'[21:30:26.320 2]',421,212,-1,-1
'[21:30:26.328 2]',420,213,-2,0
'[21:30:26.336 2]',418,214,-2,0
'[21:30:26.344 2]',416,215,-2,1
'[21:30:26.352 2]',414,216,-1,0
'[21:30:26.360 2]',413,217,-1,0
'[21:30:26.368 2]',412,218,-1,0
'[21:30:26.376 2]',411,219,-1,-1
'[21:30:26.384 2]',410,220,-2,1
'[21:30:26.392 2]',408,221,-1,0
'[21:30:26.400 2]',407,222,-1,0
'[21:30:26.408 2]',406,223,-1,0
'[21:30:26.416 2]',405,224,-1,-1
'[21:30:26.424 2]',404,225,-2,1
'[21:30:26.432 2]',402,226,-1,1
'[21:30:26.440 2]',401,227,0,-1
'[21:30:26.448 2]',401,228,-1,0
'[21:30:26.456 2]',400,229,-1,1
'[21:30:26.464 2]',399,230,0,1
'[21:30:26.472 2]',399,231,1,-1
'[21:30:26.480 2]',400,232,0,1
'[21:30:26.488 2]',400,233,1,1
'[21:30:26.496 2]',401,234,2,-1
'[21:30:26.504 2]',403,235,1,0
'[21:30:26.512 2]',404,236,1,0
'[21:30:26.520 2]',405,237,1,1
'[21:30:26.528 2]',406,238,2,0
'[21:30:26.536 2]',408,239,2,1
'[21:30:26.544 2]',410,240,3,1
'[21:30:26.552 2]',413,241,4,1
'[21:30:26.560 2]',417,242,5,1
'[21:30:26.568 2]',422,243,6,1
'[21:30:26.576 2]',428,244,7,1
'[21:30:26.584 2]',435,245,8,0
'[21:30:26.592 2]',443,246,8,0
'[21:30:26.600 2]',451,247,8,0
'[21:30:26.608 2]',459,248,8,-2
'[21:30:26.616 2]',467,249,6,-1
'[21:30:26.624 2]',473,250,5,0
'[21:30:26.632 2]',478,251,5,0
'[21:30:26.640 2]',483,252,5,0
'[21:30:26.648 2]',488,253,5,-1
'[21:30:26.656 2]',493,254,4,-1
'[21:30:26.664 2]',497,255,3,1
'[21:30:26.672 2]',500,256,4,-1
'[21:30:26.680 2]',504,257,3,0
'[21:30:26.688 2]',507,258,3,-1
'[21:30:26.696 2]',510,259,2,-1
'[21:30:26.704 2]',512,260,1,-1
'[21:30:26.712 2]',513,261,0,-1
'[21:30:26.720 2]',513,262,-1,0
'[21:30:26.728 2]',512,263,-1,0
'[21:30:26.736 2]',511,264,-1,0
'[21:30:26.744 2]',510,265,-1,0
'[21:30:26.752 2]',509,266,-1,0
'[21:30:26.760 2]',508,267,-1,-1
'[21:30:26.768 2]',507,268,-2,1
'[21:30:26.776 2]',505,269,-1,0
'[21:30:26.784 2]',504,270,-1,-1
'[21:30:26.792 2]',503,271,-2,1
'[21:30:26.800 2]',501,272,-1,1
'[21:30:26.808 2]',500,273,0,-1
'[21:30:26.816 2]',500,274,-1,-1
'[21:30:26.824 2]',499,275,-2,1
'[21:30:26.832 2]',497,276,-1,-1
'[21:30:26.840 2]',496,277,-2,1
'[21:30:26.848 2]',494,278,-1,-1
'[21:30:26.856 2]',493,279,-2,1
'[21:30:26.864 2]',491,280,-1,-1
'[21:30:26.872 2]',490,281,-2,0
'[21:30:26.880 2]',488,282,-2,0
'[21:30:26.888 2]',486,283,-2,0
'[21:30:26.896 2]',484,284,-2,0
'[21:30:26.904 2]',482,285,-2,-1
'[21:30:26.912 2]',480,286,-3,1
'[21:30:26.920 2]',477,287,-2,-1
'[21:30:26.928 2]',475,288,-3,1
'[21:30:26.936 2]',472,289,-2,21
'[21:30:26.944 2]',470,290,19,8
'[21:30:26.952 2]',489,291,27,-15
'[21:30:26.960 2]',516,292,12,-9
'[21:30:26.968 2]',528,293,3,-3
'[21:30:26.976 2]',531,294,0,-2
'[21:30:26.984 2]',531,295,-2,-1
'[21:30:26.992 2]',529,296,-3,1
'[21:30:27.000 2]',526,297,-2,1
'[21:30:27.008 2]',524,298,-1,0
'[21:30:27.016 2]',523,299,-1,1
'[21:30:27.024 2]',522,300,0,3
'[21:30:27.032 2]',522,301,3,2
'[21:30:27.040 2]',525,302,5,2
'[21:30:27.048 2]',530,303,7,0
'[21:30:27.056 2]',537,304,7,2
'[21:30:27.064 2]',544,305,9,0
'[21:30:27.072 2]',553,306,9,0
'[21:30:27.080 2]',562,307,9,-1
'[21:30:27.088 2]',571,308,8,0
'[21:30:27.096 2]',579,309,8,1
'[21:30:27.104 2]',587,310,9,-4
'[21:30:27.112 2]',596,311,5,0
'[21:30:27.120 2]',601,312,5,0
'[21:30:27.128 2]',606,313,5,1
'[21:30:27.136 2]',611,314,6,-1
'[21:30:27.144 2]',617,315,5,0
'[21:30:27.152 2]',622,316,5,-2
'[21:30:27.160 2]',627,317,3,-1
'[21:30:27.168 2]',630,318,2,0
'[21:30:27.176 2]',632,319,2,-1
'[21:30:27.184 2]',634,320,1,1
'[21:30:27.192 2]',635,321,2,-1
'[21:30:27.200 2]',637,322,1,-1
'[21:30:27.208 2]',638,323,0,-1
'[21:30:27.216 2]',638,324,-1,-1
'[21:30:27.224 2]',637,325,-2,0
'[21:30:27.232 2]',635,326,-2,0
'[21:30:27.240 2]',633,327,-2,0
'[21:30:27.248 2]',631,328,-2,-2
'[21:30:27.256 2]',629,329,-4,0
'[21:30:27.264 2]',625,330,-4,0
'[21:30:27.272 2]',621,331,-4,0
'[21:30:27.280 2]',617,332,-4,0
'[21:30:27.288 2]',613,333,-4,0
'[21:30:27.296 2]',609,334,-4,1
'[21:30:27.304 2]',605,335,-3,-1
'[21:30:27.312 2]',602,336,-4,-1
'[21:30:27.320 2]',598,337,-5,1
'[21:30:27.328 2]',593,338,-4,1
'[21:30:27.336 2]',589,339,-3,-1
'[21:30:27.344 2]',586,340,-4,0
'[21:30:27.352 2]',582,341,-4,0
'[21:30:27.360 2]',578,342,-4,1
'[21:30:27.368 2]',574,343,-3,0
'[21:30:27.376 2]',571,344,-3,0
'[21:30:27.384 2]',568,345,-3,0
'[21:30:27.392 2]',565,346,-3,0
'[21:30:27.400 2]',562,347,-3,-1
'[21:30:27.408 2]',559,348,-4,0
'[21:30:27.416 2]',555,349,-4,-1
'[21:30:27.424 2]',551,350,-5,2
'[21:30:27.432 2]',546,351,-3,-2
'[21:30:27.440 2]',543,352,-5,1
'[21:30:27.448 2]',538,353,-4,0
'[21:30:27.456 2]',534,354,-4,1
'[21:30:27.464 2]',530,355,-3,2
'[21:30:27.472 2]',527,356,-1,1
'[21:30:27.480 2]',526,357,0,3
'[21:30:27.488 2]',526,358,3,2
'[21:30:27.496 2]',529,359,5,1
'[21:30:27.504 2]',534,360,6,-1
'[21:30:27.512 2]',540,361,5,1
'[21:30:27.520 2]',545,362,6,2
'[21:30:27.528 2]',551,363,8,0
'[21:30:27.536 2]',559,364,8,1
'[21:30:27.544 2]',567,365,9,-2
'[21:30:27.552 2]',576,366,7,0
'[21:30:27.560 2]',583,367,7,0
'[21:30:27.568 2]',590,368,7,-1
'[21:30:27.576 2]',597,369,6,0
'[21:30:27.584 2]',603,370,6,-2
'[21:30:27.592 2]',609,371,4,-1
'[21:30:27.600 2]',613,372,3,-1
'[21:30:27.608 2]',616,373,2,-3
'[21:30:27.616 2]',618,374,-1,-1
'[21:30:27.624 2]',617,375,-2,0
'[21:30:27.632 2]',615,376,-2,-1
'[21:30:27.640 2]',613,377,-3,-1
'[21:30:27.648 2]',610,378,-4,0
'[21:30:27.656 2]',606,379,-4,0
'[21:30:27.664 2]',602,380,-4,-1
'[21:30:27.672 2]',598,381,-5,1
'[21:30:27.680 2]',593,382,-4,0
'[21:30:27.688 2]',589,383,-4,0
'[21:30:27.696 2]',585,384,-4,-1
'[21:30:27.704 2]',581,385,-5,-1
'[21:30:27.712 2]',576,386,-6,0
'[21:30:27.720 2]',570,387,-6,0
'[21:30:27.728 2]',564,388,-6,0
'[21:30:27.736 2]',558,389,-6,0
'[21:30:27.744 2]',552,390,-6,0
'[21:30:27.752 2]',546,391,-6,0
'[21:30:27.760 2]',540,392,-6,0
'[21:30:27.768 2]',534,393,-6,0
'[21:30:27.776 2]',528,394,-6,0
'[21:30:27.784 2]',522,395,-6,1
'[21:30:27.792 2]',516,396,-5,-1
'[21:30:27.800 2]',511,397,-6,1
'[21:30:27.808 2]',505,398,-5,1
'[21:30:27.816 2]',500,399,-4,-1
'[21:30:27.824 2]',496,400,-5,1
'[21:30:27.832 2]',491,401,-4,-1
'[21:30:27.840 2]',487,402,-5,1
'[21:30:27.848 2]',482,403,-4,0
'[21:30:27.856 2]',478,404,-4,0
'[21:30:27.864 2]',474,405,-4,-1
'[21:30:27.872 2]',470,406,-5,0
'[21:30:27.880 2]',465,407,-5,0
'[21:30:27.888 2]',460,408,-5,0
'[21:30:27.896 2]',455,409,-5,0
'[21:30:27.904 2]',450,410,-5,0
'[21:30:27.912 2]',445,411,-5,2
'[21:30:27.920 2]',440,412,-3,3
'[21:30:27.928 2]',437,413,0,1
'[21:30:27.936 2]',437,414,1,4
'[21:30:27.944 2]',438,415,5,1
'[21:30:27.952 2]',443,416,6,2
'[21:30:27.960 2]',449,417,8,1
'[21:30:27.968 2]',457,418,9,1
'[21:30:27.976 2]',466,419,10,0
'[21:30:27.984 2]',476,420,10,-1
'[21:30:27.992 2]',486,421,9,-1
'[21:30:28.000 2]',495,422,8,-2
'[21:30:28.008 2]',503,423,6,-2
'[21:30:28.016 2]',509,424,4,0
'[21:30:28.024 2]',513,425,4,1
'[21:30:28.032 2]',517,426,5,-1
'[21:30:28.040 2]',522,427,4,-1
'[21:30:28.048 2]',526,428,3,-1
'[21:30:28.056 2]',529,429,2,-1
'[21:30:28.064 2]',531,430,1,0
'[21:30:28.072 2]',532,431,1,-2
'[21:30:28.080 2]',533,432,-1,-1
'[21:30:28.088 2]',532,433,-2,0
'[21:30:28.096 2]',530,434,-2,-2
'[21:30:28.104 2]',528,435,-4,0
'[21:30:28.112 2]',524,436,-4,0
'[21:30:28.120 2]',520,437,-4,-1
'[21:30:28.128 2]',516,438,-5,1
'[21:30:28.136 2]',511,439,-4,0
'[21:30:28.144 2]',507,440,-4,1
'[21:30:28.152 2]',503,441,-3,0
'[21:30:28.160 2]',500,442,-3,-1
'[21:30:28.168 2]',497,443,-4,0
'[21:30:28.176 2]',493,444,-4,1
'[21:30:28.184 2]',489,445,-3,1
'[21:30:28.192 2]',486,446,-2,1
'[21:30:28.200 2]',484,447,-1,0
'[21:30:28.208 2]',483,448,-1,0
'[21:30:28.216 2]',482,449,-1,2
'[21:30:28.224 2]',481,450,1,-1
'[21:30:28.232 2]',482,451,0,0
'[21:30:28.240 2]',482,452,0,0
'[21:30:28.248 2]',482,453,0,-1
'[21:30:28.256 2]',482,454,-1,0
'[21:30:28.264 2]',481,455,-1,-1
'[21:30:28.272 2]',480,456,-2,0
'[21:30:28.280 2]',478,457,-2,0
'[21:30:28.288 2]',476,458,-2,0
'[21:30:28.296 2]',474,459,-2,0
'[21:30:28.304 2]',472,460,-2,0
'[21:30:28.312 2]',470,461,-2,-1
'[21:30:28.320 2]',468,462,-3,0
'[21:30:28.328 2]',465,463,-3,0
'[21:30:28.336 2]',462,464,-3,1
'[21:30:28.344 2]',459,465,-2,1
'[21:30:28.352 2]',457,466,-1,-2
'[21:30:28.360 2]',456,467,-3,0
'[21:30:28.368 2]',453,468,-3,0
'[21:30:28.376 2]',450,469,-3,0
'[21:30:28.384 2]',447,470,-3,2
'[21:30:28.392 2]',444,471,-1,2
'[21:30:28.400 2]',443,472,1,1
'[21:30:28.408 2]',444,473,2,1
'[21:30:28.416 2]',446,474,3,3
'[21:30:28.424 2]',449,475,6,1
'[21:30:28.432 2]',455,476,7,3
'[21:30:28.440 2]',462,477,10,1
'[21:30:28.448 2]',472,478,11,0
'[21:30:28.456 2]',483,479,11,-2
'[21:30:28.464 2]',494,480,9,0
'[21:30:28.472 2]',503,481,9,-1
'[21:30:28.480 2]',512,482,8,-1
'[21:30:28.488 2]',520,483,7,0
'[21:30:28.496 2]',527,484,7,-2
'[21:30:28.504 2]',534,485,5,-1
'[21:30:28.512 2]',539,486,4,-3
'[21:30:28.520 2]',543,487,1,2
'[21:30:28.528 2]',544,488,3,-1
'[21:30:28.536 2]',547,489,2,0
'[21:30:28.544 2]',549,490,2,-1
'[21:30:28.552 2]',551,491,1,-1
'[21:30:28.560 2]',552,492,0,-1
'[21:30:28.568 2]',552,493,-1,-1
'[21:30:28.576 2]',551,494,-2,-1
'[21:30:28.584 2]',549,495,-3,0
'[21:30:28.592 2]',546,496,-3,1
'[21:30:28.600 2]',543,497,-2,-2
'[21:30:28.608 2]',541,498,-4,-1
'[21:30:28.616 2]',537,499,-5,1
'[21:30:28.624 2]',532,500,-4,1
'[21:30:28.632 2]',528,501,-3,-1
'[21:30:28.640 2]',525,502,-4,1
'[21:30:28.648 2]',521,503,-3,-1
'[21:30:28.656 2]',518,504,-4,0
'[21:30:28.664 2]',514,505,-4,1
'[21:30:28.672 2]',510,506,-3,-1
'[21:30:28.680 2]',507,507,-4,1
'[21:30:28.688 2]',503,508,-3,0
'[21:30:28.696 2]',500,509,-3,-1
'[21:30:28.704 2]',497,510,-4,0
'[21:30:28.712 2]',493,511,-4,0
'[21:30:28.720 2]',489,512,-4,-1
'[21:30:28.728 2]',485,513,-5,0
'[21:30:28.736 2]',480,514,-5,1
'[21:30:28.744 2]',475,515,-4,0
'[21:30:28.752 2]',471,516,-4,-1
'[21:30:28.760 2]',467,517,-5,1
'[21:30:28.768 2]',462,518,-4,1
'[21:30:28.776 2]',458,519,-3,-1
'[21:30:28.784 2]',455,520,-4,-1
'[21:30:28.792 2]',451,521,-5,1
'[21:30:28.800 2]',446,522,-4,0
'[21:30:28.808 2]',442,523,-4,-1
'[21:30:28.816 2]',438,524,-5,0
'[21:30:28.824 2]',433,525,-5,1
'[21:30:28.832 2]',428,526,-4,-1
'[21:30:28.840 2]',424,527,-5,2
'[21:30:28.848 2]',419,528,-3,1
'[21:30:28.856 2]',416,529,-2,2
'[21:30:28.864 2]',414,530,0,2
'[21:30:28.872 2]',414,531,2,3
'[21:30:28.880 2]',416,532,5,1
'[21:30:28.888 2]',421,533,6,1
'[21:30:28.896 2]',427,534,7,1
'[21:30:28.904 2]',434,535,8,-1
'[21:30:28.912 2]',442,536,7,-2
'[21:30:28.920 2]',449,537,5,0
'[21:30:28.928 2]',454,538,5,1
'[21:30:28.936 2]',459,539,6,-1
'[21:30:28.944 2]',465,540,5,0
'[21:30:28.952 2]',470,541,5,0
'[21:30:28.960 2]',475,542,5,-1
'[21:30:28.968 2]',480,543,4,-1
'[21:30:28.976 2]',484,544,3,-1
'[21:30:28.984 2]',487,545,2,-10
'[21:30:28.992 2]',489,546,-8,-6
'[21:30:29.000 2]',481,547,-14,4
'[21:30:29.008 2]',467,548,-10,4
'[21:30:29.016 2]',457,549,-6,0
'[21:30:29.024 2]',451,550,-6,0
'[21:30:29.032 2]',445,551,-6,-1
'[21:30:29.040 2]',439,552,-7,-1
'[21:30:29.048 2]',432,553,-8,0
'[21:30:29.056 2]',424,554,-8,2
'[21:30:29.064 2]',416,555,-6,-1
'[21:30:29.072 2]',410,556,-7,-1
'[21:30:29.080 2]',403,557,-8,0
'[21:30:29.088 2]',395,558,-8,1
'[21:30:29.096 2]',387,559,-7,-1
'[21:30:29.104 2]',380,560,-8,2
'[21:30:29.112 2]',372,561,-6,-1
'[21:30:29.120 2]',366,562,-7,-1
'[21:30:29.128 2]',359,563,-8,2
'[21:30:29.136 2]',351,564,-6,-1
'[21:30:29.144 2]',345,565,-7,1
'[21:30:29.152 2]',338,566,-6,0
'[21:30:29.160 2]',332,567,-6,1
'[21:30:29.168 2]',326,568,-5,-1
'[21:30:29.176 2]',321,569,-6,0
'[21:30:29.184 2]',315,570,-6,0
'[21:30:29.192 2]',309,571,-6,-1
'[21:30:29.200 2]',303,572,-7,1
'[21:30:29.208 2]',296,573,-6,1
'[21:30:29.216 2]',290,574,-5,1
'[21:30:29.224 2]',285,575,-4,-1
'[21:30:29.232 2]',281,576,-5,0
'[21:30:29.240 2]',276,577,-5,1
'[21:30:29.248 2]',271,578,-4,-1
'[21:30:29.256 2]',267,579,-5,1
'[21:30:29.264 2]',262,580,-4,-1
'[21:30:29.272 2]',258,581,-5,2
'[21:30:29.280 2]',253,582,-3,0
'[21:30:29.288 2]',250,583,-3,1
'[21:30:29.296 2]',247,584,-2,2
'[21:30:29.304 2]',245,585,0,1
'[21:30:29.312 2]',245,586,1,1
'[21:30:29.320 2]',246,587,2,4
'[21:30:29.328 2]',248,588,6,3
'[21:30:29.336 2]',254,589,9,2
'[21:30:29.344 2]',263,590,11,2
'[21:30:29.352 2]',274,591,13,2
'[21:30:29.360 2]',287,592,15,-1
'[21:30:29.368 2]',302,593,14,-1
'[21:30:29.376 2]',316,594,13,1
'[21:30:29.384 2]',329,595,14,-2
'[21:30:29.392 2]',343,596,12,-1
'[21:30:29.400 2]',355,597,11,-4
'[21:30:29.408 2]',366,598,7,-1
'[21:30:29.416 2]',373,599,6,1
'[21:30:29.424 2]',379,600,7,-1
'[21:30:29.432 2]',386,601,6,0
'[21:30:29.440 2]',392,602,6,-2
'[21:30:29.448 2]',398,603,4,-2
'[21:30:29.456 2]',402,604,2,-1
'[21:30:29.464 2]',404,605,1,-1
'[21:30:29.472 2]',405,606,0,-2
'[21:30:29.480 2]',405,607,-2,-2
'[21:30:29.488 2]',403,608,-4,0
'[21:30:29.496 2]',399,609,-4,-2
'[21:30:29.504 2]',395,610,-6,0
'[21:30:29.512 2]',389,611,-6,0
'[21:30:29.520 2]',383,612,-6,0
'[21:30:29.528 2]',377,613,-6,0
'[21:30:29.536 2]',371,614,-6,-1
'[21:30:29.544 2]',365,615,-7,0
'[21:30:29.552 2]',358,616,-7,0
'[21:30:29.560 2]',351,617,-7,1
'[21:30:29.568 2]',344,618,-6,-1
'[21:30:29.576 2]',338,619,-7,1
'[21:30:29.584 2]',331,620,-6,0
'[21:30:29.592 2]',325,621,-6,0
'[21:30:29.600 2]',319,622,-6,0
'[21:30:29.608 2]',313,623,-6,1
'[21:30:29.616 2]',307,624,-5,-1
'[21:30:29.624 2]',302,625,-6,0
'[21:30:29.632 2]',296,626,-6,-1
'[21:30:29.640 2]',290,627,-7,1
'[21:30:29.648 2]',283,628,-6,-1
'[21:30:29.656 2]',277,629,-7,0
'[21:30:29.664 2]',270,630,-7,0
'[21:30:29.672 2]',263,631,-7,0
'[21:30:29.680 2]',256,632,-7,0
'[21:30:29.688 2]',249,633,-7,2
'[21:30:29.696 2]',242,634,-5,-1
'[21:30:29.704 2]',237,635,-6,1
'[21:30:29.712 2]',231,636,-5,-1
